date,ndvi_221,ndvi_231,ndvi_271
2018-01-01,"0,48","0,53","0,42"
2018-01-06,"0,58",1,"0,46"
2018-01-11,"0,09","0,82","0,01"
2018-01-16,"0,29","0,02","0,39"
2018-01-21,"0,26","0,46","0,22"
2018-01-26,"0,33","0,21","0,45"
2018-01-31,"0,77","0,85","0,81"
2018-02-05,"0,72","0,74","0,19"
2018-02-10,"0,31","0,6","0,88"
2018-02-15,"0,08","0,1","0,39"
2018-02-20,"0,8","0,77","0,55"
2018-02-25,"0,54","0,64","0,05"
2018-03-02,"0,97","0,79","0,82"
2018-03-07,"0,24","0,71","0,94"
2018-03-12,"0,49","0,7","0,56"
2018-03-17,"0,66","0,93","0,97"
2018-03-22,"0,23","0,49","0,62"
2018-03-27,"0,91","0,59","0,38"
2018-04-01,"0,69","0,64","0,66"
2018-04-06,"0,85","0,93","0,73"
2018-04-11,"0,19","0,88","0,24"
2018-04-16,"0,35","0,29","0,64"
2018-04-21,"0,91","0,55","0,83"
2018-04-26,"0,67","0,74","0,09"
2018-05-01,"0,91","0,27","0,03"
2018-05-06,"0,29","0,44","0,12"
2018-05-11,"0,03","0,58","0,7"
2018-05-16,"0,53","0,4","0,5"
2018-05-21,"0,99","0,04","0,13"
2018-05-26,"0,11","0,81","0,59"
2018-05-31,"0,71","0,6","0,42"
2018-06-05,"0,89","0,55","0,36"
2018-06-10,"0,57","0,7","0,35"
2018-06-15,"0,32","0,23","0,33"
2018-06-20,"0,84","0,58","0,22"
2018-06-25,"0,18","0,55","0,08"
2018-06-30,"0,4","0,62","0,45"
2018-07-05,"0,16","0,5","0,71"
2018-07-10,"0,85","0,01","0,22"
2018-07-15,"0,26","0,85","0,95"
2018-07-20,"0,4","0,71","0,32"
2018-07-25,"0,05","0,8","0,53"
2018-07-30,"0,9","0,23","0,63"
2018-08-04,"0,4","0,72","0,29"
2018-08-09,"0,78","0,46","0,33"
2018-08-14,"0,85","0,65","0,33"
2018-08-19,"0,22","0,33","0,28"
2018-08-24,"0,41","0,34","0,76"
2018-08-29,"0,82","0,99","0,88"
2018-09-03,"0,06","0,99","0,8"
2018-09-08,"0,88","0,53","0,46"
2018-09-13,"0,26","0,07","0,27"
2018-09-18,"0,4",1,"0,44"
2018-09-23,"0,3","0,16","0,91"
2018-09-28,"0,64","0,9",0
2018-10-03,"0,78","0,26","0,19"
2018-10-08,"0,48","0,7","0,71"
2018-10-13,"0,27","0,82","0,55"
2018-10-18,"0,8","0,72","0,91"
2018-10-23,"0,24","0,52","0,01"
2018-10-28,"0,81","0,73","0,13"
2018-11-02,"0,54","0,26","0,4"
2018-11-07,"0,81","0,06","0,72"
2018-11-12,"0,15","0,94","0,29"
2018-11-17,"0,95","0,93","0,76"
2018-11-22,"0,54","0,48","0,35"
2018-11-27,"0,24","0,88","0,38"
2018-12-02,"0,19","0,18","0,65"
2018-12-07,"0,8","0,76","0,59"
2018-12-12,"0,04","0,38","0,81"
2018-12-17,"0,35","0,77","0,73"
2018-12-22,"0,67","0,11","0,36"
2018-12-27,"0,68","0,85","0,44"
2019-01-01,"0,91","0,09","0,91"
2019-01-06,"0,66","0,92","0,06"
2019-01-11,"0,67","0,93","0,36"
2019-01-16,"0,65","0,98","0,68"
2019-01-21,"0,93","0,96","0,88"
2019-01-26,"0,69","0,84","0,96"
2019-01-31,"0,81","0,33","0,26"
2019-02-05,"0,08","0,83","0,67"
2019-02-10,"0,72","0,37","0,97"
2019-02-15,"0,31","0,27","0,8"
2019-02-20,"0,31","0,77","0,15"
2019-02-25,"0,08","0,34","0,59"
2019-03-02,"0,9",1,"0,13"
2019-03-07,"0,95","0,03","0,22"
2019-03-12,"0,46","0,03","0,17"
2019-03-17,"0,87","0,59","0,49"
2019-03-22,"0,8","0,49","0,55"
2019-03-27,"0,46","0,59","0,39"
2019-04-01,"0,4","0,25","0,46"
2019-04-06,"0,95",1,"0,21"
2019-04-11,"0,74","0,5","0,62"
2019-04-16,"0,09","0,52","0,88"
2019-04-21,"0,36","0,87","0,49"
2019-04-26,"0,43","0,82","0,78"
