date,precipitation_221,precipitation_231,precipitation_271
2018-01-01,0,18,20
2018-01-02,15,20,23
2018-01-03,11,23,10
2018-01-04,14,2,24
2018-01-05,14,21,10
2018-01-06,15,21,2
2018-01-07,3,5,5
2018-01-08,13,10,16
2018-01-09,20,20,14
2018-01-10,11,20,4
2018-01-11,25,24,18
2018-01-12,9,12,5
2018-01-13,0,16,20
2018-01-14,5,14,3
2018-01-15,24,10,2
2018-01-16,6,19,24
2018-01-17,6,11,3
2018-01-18,12,1,14
2018-01-19,3,21,6
2018-01-20,0,10,11
2018-01-21,8,23,19
2018-01-22,9,3,5
2018-01-23,5,21,16
2018-01-24,13,3,18
2018-01-25,1,10,22
2018-01-26,7,21,13
2018-01-27,21,1,24
2018-01-28,15,15,13
2018-01-29,17,16,22
2018-01-30,14,6,18
2018-01-31,2,13,3
2018-02-01,3,20,20
2018-02-02,6,20,9
2018-02-03,4,0,21
2018-02-04,20,25,21
2018-02-05,0,0,13
2018-02-06,22,8,0
2018-02-07,2,14,4
2018-02-08,8,5,19
2018-02-09,25,0,22
2018-02-10,19,13,24
2018-02-11,13,20,3
2018-02-12,5,0,16
2018-02-13,11,13,3
2018-02-14,8,12,10
2018-02-15,25,25,15
2018-02-16,5,2,10
2018-02-17,6,6,18
2018-02-18,15,14,19
2018-02-19,15,13,23
2018-02-20,11,5,7
2018-02-21,14,17,11
2018-02-22,25,21,11
2018-02-23,2,1,25
2018-02-24,10,2,7
2018-02-25,17,1,7
2018-02-26,17,10,12
2018-02-27,9,8,2
2018-02-28,16,7,8
2018-03-01,1,7,21
2018-03-02,18,22,5
2018-03-03,14,9,5
2018-03-04,2,6,16
2018-03-05,23,6,11
2018-03-06,25,0,7
2018-03-07,3,6,10
2018-03-08,1,4,22
2018-03-09,20,23,12
2018-03-10,1,25,0
2018-03-11,14,3,3
2018-03-12,22,11,0
2018-03-13,2,17,7
2018-03-14,16,21,25
2018-03-15,1,22,18
2018-03-16,13,4,12
2018-03-17,5,5,0
2018-03-18,25,3,21
2018-03-19,23,21,14
2018-03-20,7,4,8
2018-03-21,8,7,14
2018-03-22,4,0,18
2018-03-23,19,11,11
2018-03-24,10,25,20
2018-03-25,18,14,19
2018-03-26,1,8,25
2018-03-27,2,17,25
2018-03-28,11,18,3
2018-03-29,5,17,15
2018-03-30,13,10,14
2018-03-31,6,15,6
2018-04-01,20,8,22
2018-04-02,1,11,18
2018-04-03,9,24,19
2018-04-04,1,0,23
2018-04-05,22,24,6
2018-04-06,8,11,17
2018-04-07,3,5,5
2018-04-08,8,0,25
2018-04-09,6,21,20
2018-04-10,5,14,19
2018-04-11,11,16,17
2018-04-12,20,21,6
2018-04-13,15,13,25
2018-04-14,18,5,1
2018-04-15,7,13,22
2018-04-16,5,4,18
2018-04-17,20,13,12
2018-04-18,4,16,18
2018-04-19,0,11,13
2018-04-20,20,5,5
2018-04-21,11,20,22
2018-04-22,13,24,3
2018-04-23,11,10,19
2018-04-24,9,11,5
2018-04-25,16,4,12
2018-04-26,19,14,20
2018-04-27,22,14,23
2018-04-28,1,20,16
2018-04-29,4,14,5
2018-04-30,11,6,10
2018-05-01,4,18,2
2018-05-02,8,19,4
2018-05-03,3,22,2
2018-05-04,5,25,11
2018-05-05,25,19,13
2018-05-06,19,0,20
2018-05-07,2,5,12
2018-05-08,10,13,8
2018-05-09,10,20,14
2018-05-10,7,12,10
2018-05-11,4,5,15
2018-05-12,10,0,8
2018-05-13,13,13,0
2018-05-14,9,15,23
2018-05-15,19,3,4
2018-05-16,16,17,16
2018-05-17,6,25,19
2018-05-18,17,24,0
2018-05-19,12,0,16
2018-05-20,5,23,10
2018-05-21,24,5,22
2018-05-22,15,1,19
2018-05-23,16,19,11
2018-05-24,7,15,0
2018-05-25,3,7,3
2018-05-26,25,25,10
2018-05-27,16,22,25
2018-05-28,7,4,4
2018-05-29,18,17,17
2018-05-30,15,19,22
2018-05-31,15,9,25
2018-06-01,25,15,7
2018-06-02,19,21,24
2018-06-03,12,15,24
2018-06-04,17,11,14
2018-06-05,4,15,21
2018-06-06,19,18,23
2018-06-07,3,12,23
2018-06-08,9,10,14
2018-06-09,6,10,18
2018-06-10,16,16,18
2018-06-11,22,18,22
2018-06-12,6,14,19
2018-06-13,6,15,10
2018-06-14,4,9,10
2018-06-15,10,2,3
2018-06-16,24,6,21
2018-06-17,9,18,3
2018-06-18,25,13,15
2018-06-19,15,0,11
2018-06-20,8,19,5
2018-06-21,25,9,16
2018-06-22,21,1,14
2018-06-23,22,9,7
2018-06-24,3,5,13
2018-06-25,14,16,9
2018-06-26,10,2,22
2018-06-27,0,12,23
2018-06-28,22,4,16
2018-06-29,11,1,16
2018-06-30,6,16,3
2018-07-01,4,4,20
2018-07-02,18,14,24
2018-07-03,18,14,2
2018-07-04,1,1,12
2018-07-05,5,14,17
2018-07-06,3,23,22
2018-07-07,18,21,14
2018-07-08,8,13,13
2018-07-09,8,0,2
2018-07-10,5,2,21
2018-07-11,1,7,21
2018-07-12,17,14,21
2018-07-13,4,0,25
2018-07-14,25,18,22
2018-07-15,13,8,25
2018-07-16,17,2,2
2018-07-17,9,12,21
2018-07-18,1,17,13
2018-07-19,11,3,14
2018-07-20,6,5,21
2018-07-21,22,12,3
2018-07-22,6,9,3
2018-07-23,0,25,6
2018-07-24,16,22,5
2018-07-25,4,22,22
2018-07-26,14,25,19
2018-07-27,23,12,21
2018-07-28,20,4,18
2018-07-29,8,2,16
2018-07-30,21,7,3
2018-07-31,21,13,3
2018-08-01,23,16,1
2018-08-02,12,23,14
2018-08-03,25,24,25
2018-08-04,15,17,19
2018-08-05,8,9,3
2018-08-06,0,8,13
2018-08-07,1,10,5
2018-08-08,16,3,6
2018-08-09,8,8,13
2018-08-10,15,14,23
2018-08-11,6,14,25
2018-08-12,17,15,7
2018-08-13,5,16,19
2018-08-14,4,12,24
2018-08-15,1,13,10
2018-08-16,24,19,6
2018-08-17,24,24,19
2018-08-18,13,21,4
2018-08-19,20,7,17
2018-08-20,14,2,22
2018-08-21,18,0,4
2018-08-22,20,24,19
2018-08-23,11,21,12
2018-08-24,9,25,0
2018-08-25,18,14,1
2018-08-26,11,24,12
2018-08-27,3,12,14
2018-08-28,10,18,0
2018-08-29,10,13,12
2018-08-30,17,14,20
2018-08-31,22,25,11
2018-09-01,0,19,5
2018-09-02,8,25,5
2018-09-03,23,14,15
2018-09-04,2,23,8
2018-09-05,1,6,11
2018-09-06,6,20,7
2018-09-07,21,6,3
2018-09-08,10,8,14
2018-09-09,6,7,1
2018-09-10,22,20,23
2018-09-11,7,22,5
2018-09-12,2,5,25
2018-09-13,22,8,0
2018-09-14,6,4,10
2018-09-15,20,3,0
2018-09-16,13,14,7
2018-09-17,18,14,21
2018-09-18,22,14,1
2018-09-19,25,2,5
2018-09-20,9,5,7
2018-09-21,12,24,13
2018-09-22,16,8,9
2018-09-23,16,11,9
2018-09-24,9,8,21
2018-09-25,15,24,7
2018-09-26,21,22,7
2018-09-27,17,2,22
2018-09-28,15,13,10
2018-09-29,10,17,0
2018-09-30,2,7,13
2018-10-01,1,17,18
2018-10-02,7,6,24
2018-10-03,2,9,1
2018-10-04,9,1,22
2018-10-05,15,14,20
2018-10-06,18,7,10
2018-10-07,8,20,24
2018-10-08,2,20,18
2018-10-09,19,17,1
2018-10-10,6,0,9
2018-10-11,14,8,18
2018-10-12,23,6,20
2018-10-13,4,19,16
2018-10-14,12,22,0
2018-10-15,4,5,19
2018-10-16,15,12,21
2018-10-17,1,15,17
2018-10-18,3,5,18
2018-10-19,21,2,15
2018-10-20,13,18,16
2018-10-21,19,13,25
2018-10-22,25,5,3
2018-10-23,9,8,4
2018-10-24,3,0,9
2018-10-25,20,25,0
2018-10-26,16,0,17
2018-10-27,2,25,22
2018-10-28,24,9,2
